parameter,sensitivity,mean,q5,q95
asym,2,0.149393556,0.12573945,0.17437249999999999
asym,3,0.226998981,0.19669015,0.25997535
asym,4,0.236050118,0.20864625,0.2663094
asym,5,0.249575364,0.21723979999999998,0.28255985
asym,6,0.272335007,0.24277405000000002,0.30435135
asym,7,0.341835432,0.30432044999999996,0.38181279999999995
asym,8,0.331536578,0.30366175,0.3609332
asym,9,0.37170696,0.33595664999999997,0.40640275
asym,10,0.384210508,0.36063835,0.4114002
asym,11,0.434618657,0.4047472,0.46526419999999996
asym,12,0.459719268,0.43130095,0.48900784999999997
asym,13,0.510898701,0.4799775,0.5415594999999999
asym,14,0.502583506,0.46697334999999995,0.53891445
asym,15,0.589411467,0.5517373999999999,0.6275817499999999
asym,16,0.641154363,0.60174455,0.67714805
asym,17,0.648950231,0.6136098999999999,0.6841664
asym,18,0.739062328,0.7084014,0.76728825
asym,19,0.765487735,0.73088345,0.7982926499999999
asym,20,0.776163546,0.7466862,0.8045352000000001
asym,21,0.776371334,0.7516522999999999,0.7999802500000001
asym,22,0.788072933,0.7604551,0.81324405
asym,23,0.824543556,0.8034778000000001,0.8447991
asym,24,0.806714747,0.7859554000000001,0.82468955
asym,25,0.864048691,0.8454798,0.88044145
asym,26,0.914184807,0.89876415,0.9278001999999999
asym,27,0.937223757,0.9237609,0.9482752
asym,28,0.939112741,0.9280856999999999,0.94875645
asym,29,0.902712758,0.8956276499999999,0.9094656
asym,30,0.950630526,0.94361445,0.9568068
asym,31,0.98200678,0.97734445,0.98576285
asym,32,0.987480074,0.9832035,0.99038755
asym,33,0.98736984,0.9823278,0.9906162500000001
asym,34,0.987317283,0.9805618,0.9909327
asym,35,0.987509294,0.98023305,0.9912953
